Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
AAPL,Apple Inc,1.39845E+12,25.4,12.66,55256000000,1.29,3.08,0.96%
ACN,Accenture Plc,1.34851E+11,28.38,7.49,4779110000,1.03,3.2,1.51%
ADBE,Adobe Systems Inc,1.78041E+11,56.84,6.51,2951460000,1.09,0,0.00%
ADI,Analog Devices,43123344000,21.97,5.14,1363010000,1.42,2.16,1.85%
ADP,Automatic Data Procs,76839256000,31.08,5.77,2292800000,0.87,3.64,2.05%
ADS,Alliance Data Systems Corp,4775546000,6.33,16.33,310900000,1.73,2.52,2.43%
ADSK,Autodesk Inc,45282792000,194.43,1.06,-80800000,1.85,0,0.00%
AKAM,Akamai Technologies,15573487000,28.16,3.4,298370000,0.53,0,0.00%
AMAT,Applied Materials,59204220000,20.63,3.05,2706000000,1.64,0.84,1.30%
AMD,Adv Micro Devices,62927816000,108.88,0.48,341000000,3.12,0,0.00%
ANET,Arista Networks Inc,17686368000,26.78,8.68,328120000,1.52,0,0.00%
ANSS,Ansys Inc,24271136000,53.26,5.38,419380000,1.41,0,0.00%
APH,Amphenol Corp,30426010000,27.49,3.74,1155000000,1.06,1,0.97%
AVGO,Broadcom Ltd,1.27357E+11,18.09,17.37,2724000000,0.93,13,4.06%
BR,Broadridge Financial Solutions Llc,13754547000,26.16,4.52,482100000,0.7,2.16,1.80%
CDNS,Cadence Design Sys,21243694000,49.1,1.52,345780000,1.12,0,0.00%
CDW,CDW Corp,19536304000,22.26,6.02,736800000,1.09,1.52,1.12%
CRM,Salesforce.com Inc,1.67741E+11,140.09,1.35,1110000000,1.19,0,0.00%
CSCO,Cisco Systems Inc,2.08422E+11,16.79,2.91,11621000000,1.22,1.4,2.85%
CTSH,Cognizant Tech Sol,37891496000,17.34,4,1842000000,1.06,0.8,1.16%
CTXS,Citrix Systems Inc,15837357000,29.71,4.1,681810000,1,1.4,1.15%
