Date,Price,Open,High,Low,Vol.,Change %
31/12/2019,1611.17,1605.15,1611.62,1597.34,238.51M,0
30/12/2019,1605.15,1614.7,1614.7,1592.44,250.26M,-0.01
27/12/2019,1614.7,1614.34,1619.99,1610.12,238.04M,0
26/12/2019,1614.34,1602.48,1614.42,1602.48,221.79M,0.01
24/12/2019,1602.48,1601.86,1604.21,1598.74,138.88M,0
23/12/2019,1601.86,1597.04,1605.6,1597.04,317.08M,0
20/12/2019,1597.04,1588.02,1599,1588.02,720.45M,0.01
19/12/2019,1588.02,1576.83,1588.25,1576.83,376.62M,0.01
18/12/2019,1576.83,1577.8,1583,1576.73,370.59M,0
17/12/2019,1577.8,1580.49,1583.32,1575,355.87M,0
16/12/2019,1580.49,1566.91,1586.1,1566.91,407.18M,0.01
13/12/2019,1566.91,1556.93,1570.1,1551.93,414.92M,0.01
12/12/2019,1556.93,1540.24,1558.55,1531.91,464.18M,0.01
11/12/2019,1540.24,1529.43,1541.08,1529.43,315.00M,0.01
10/12/2019,1529.43,1529.38,1537.77,1526.13,309.47M,0
09/12/2019,1529.38,1536.81,1538.99,1528.92,297.14M,0
06/12/2019,1536.81,1519.77,1538.04,1519.77,291.20M,0.01
05/12/2019,1519.77,1513.86,1521.07,1512.94,304.81M,0
04/12/2019,1513.86,1508.54,1518.68,1508.54,323.73M,0
03/12/2019,1508.54,1521.44,1521.44,1491.43,377.99M,-0.01
02/12/2019,1521.44,1542.98,1544.05,1515.42,322.91M,-0.01
29/11/2019,1542.98,1548.18,1548.18,1541.58,153.57M,0
27/11/2019,1548.18,1539.37,1548.39,1539.37,272.62M,0.01
26/11/2019,1539.37,1538.32,1543.59,1537.08,456.32M,0
25/11/2019,1538.32,1516.67,1538.33,1516.67,328.08M,0.01
22/11/2019,1516.67,1518.52,1525.24,1510.61,284.57M,0
21/11/2019,1518.52,1525.92,1525.92,1515.28,360.57M,0
20/11/2019,1525.92,1537.04,1537.04,1514.92,386.42M,-0.01
19/11/2019,1537.04,1533.31,1541.12,1531.05,382.01M,0
18/11/2019,1533.31,1529.44,1535.77,1522.69,345.58M,0
15/11/2019,1529.44,1516.68,1529.44,1516.68,413.43M,0.01
14/11/2019,1516.68,1518.68,1518.68,1508.43,382.76M,0
13/11/2019,1518.68,1514.87,1519.86,1509.14,341.80M,0
12/11/2019,1514.87,1510.51,1520.87,1508.99,329.14M,0
11/11/2019,1510.51,1509.6,1512.37,1499.44,269.19M,0
08/11/2019,1509.6,1500.8,1509.6,1491.49,288.37M,0.01
07/11/2019,1500.8,1490.83,1509.21,1490.83,375.22M,0.01
06/11/2019,1490.83,1491.04,1491.34,1483.05,392.16M,0
05/11/2019,1491.04,1493.2,1498.11,1486.45,388.83M,0
04/11/2019,1493.2,1485.07,1497.93,1485.07,373.91M,0.01
01/11/2019,1485.07,1467.2,1485.11,1467.2,397.10M,0.01
31/10/2019,1467.2,1468.97,1472.55,1458.72,388.89M,0
30/10/2019,1468.97,1460.08,1470.01,1455.38,317.84M,0.01
29/10/2019,1460.08,1473.62,1475.08,1459.77,351.91M,-0.01
28/10/2019,1473.62,1455.22,1474.29,1455.22,348.90M,0.01
25/10/2019,1455.22,1438,1456.67,1437.37,363.34M,0.01
24/10/2019,1438,1417.01,1438.77,1417.01,350.12M,0.01
23/10/2019,1417.01,1415.29,1417.06,1408.43,319.88M,0
22/10/2019,1415.29,1434.96,1442.75,1414.83,298.37M,-0.01
21/10/2019,1434.96,1419.82,1435.42,1419.82,308.31M,0.01
18/10/2019,1419.82,1432.88,1433.56,1410.93,341.31M,-0.01
17/10/2019,1432.88,1436.23,1444.87,1426,270.01M,0
16/10/2019,1436.23,1446.46,1446.46,1431.06,303.48M,-0.01
15/10/2019,1446.46,1430.66,1449.79,1430.66,295.68M,0.01
14/10/2019,1430.66,1432.11,1436.64,1429.86,258.14M,0
11/10/2019,1432.11,1411.07,1443.94,1411.07,405.84M,0.01
10/10/2019,1411.07,1402.13,1417.25,1400.14,299.23M,0.01
09/10/2019,1402.13,1382.07,1407.23,1382.07,261.58M,0.01
08/10/2019,1382.07,1407.63,1407.63,1381.98,354.91M,-0.02
07/10/2019,1407.63,1414.4,1419.05,1406.72,286.05M,0
04/10/2019,1414.4,1390.61,1415.3,1390.61,333.21M,0.02
03/10/2019,1390.61,1373.62,1391.15,1356.38,351.01M,0.01
02/10/2019,1373.62,1401.34,1401.34,1364.14,393.14M,-0.02
01/10/2019,1401.34,1413.36,1429.37,1400.41,352.07M,-0.01
30/09/2019,1413.36,1398.82,1417.05,1398.82,350.85M,0.01
27/09/2019,1398.82,1416.98,1421.02,1388.66,399.49M,-0.01
26/09/2019,1416.98,1416.42,1422.81,1407.18,306.52M,0
25/09/2019,1416.42,1399.08,1420.11,1385.28,345.85M,0.01
24/09/2019,1399.08,1413.57,1428.18,1393.92,435.66M,-0.01
23/09/2019,1413.57,1410.34,1417.65,1406.46,312.36M,0
20/09/2019,1410.34,1426.3,1430.55,1406.35,650.44M,-0.01
19/09/2019,1426.3,1423.27,1438.75,1423.27,317.86M,0
18/09/2019,1423.27,1422.34,1423.62,1403.63,316.40M,0
17/09/2019,1422.34,1417.4,1422.88,1415.07,315.38M,0
16/09/2019,1417.4,1421.26,1421.26,1409.16,289.94M,0
13/09/2019,1421.26,1430.86,1430.86,1419.3,344.76M,-0.01
12/09/2019,1430.86,1423.77,1442.61,1423.77,428.26M,0.01
11/09/2019,1423.77,1409.53,1423.78,1409.53,388.19M,0.01
